Curriculum,CONDENSED,,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
27649699,"FMPH UDE","","",,,,4,"",",PB25,PB25,PB25,PB25,PB25,PB25,PB25,PB25,PB26,PB26,PB26,PB26,PB26,PB26,PB26,PB26,PB27,PB27,PB27,PB27,PB27,PB27,PB27,PB27,PB28,PB28,PB28,PB28,PB28,PB28,PB28,PB28,PB29,PB29,PB29,PB29,PB29,PB29,PB29,PB29,PB30,PB30,PB30,PB30,PB30,PB30,PB30,PB30,PB31,PB31,PB31,PB31,PB31,PB31,PB31,PB31",
28342577,"IS Dept 1","","",,,,4.0,"",",IT25,IT25,IT25,IT25,IT25,IT25,IT25,IT25",
32493104,"MATH 20E","","","1497098272;2452577601",,,4,"",",BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,EC27,EC27,EC27,EC27,EC27,EC27,EC27,EC27,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC37,EC37,EC37,EC37,EC37,EC37,EC37,EC37,MA27,MA27,MA27,MA27,MA27,MA27,MA27,MA27,MA29,MA29,MA29,MA29,MA29,MA29,MA29,MA29,MA30,MA30,MA30,MA30,MA30,MA30,MA30,MA30,MA31,MA31,MA31,MA31,MA31,MA31,MA31,MA31,MA32,MA32,MA32,MA32,MA32,MA32,MA32,MA32,MA35,MA35,MA35,MA35,MA35,MA35,MA35,MA35,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC27,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC30,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC31,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC32,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC33,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,MC34,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY30,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY31,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SI30,SI30,SI30,SI30,SI30,SI30,SI30,SI30",
38515836,"NANO 108","","",,,,4,"",",NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25",
43575452,"CHEM 125/157","","","3795547512;4148381937",,,4,"",",CH36,CH36,CH36,CH36,CH36,CH36,CH36,CH36",
44132750,"HDS CORE COURSE 4","","",,,,4,"",",HS26,HS26,HS26,HS26,HS26,HS26,HS26,HS26,HS27,HS27,HS27,HS27,HS27,HS27,HS27,HS27,HS28,HS28,HS28,HS28,HS28,HS28,HS28,HS28",
45003556,"MATH 10C/20C","","","227502030",,,4,"",",CG32,CG32,CG32,CG32,CG32,CG32,CG32,CG32,CH35,CH35,CH38,CH38,IS26,IS26,IS26,IS26,IS26,IS26,IS26,IS26,IS34,IS34,IS34,IS34,IS34,IS34,IS34,IS34,PC34,PC34,PC34,PC34,PC34,PC34,PC34,PC34,SI29,SI29,SI29,SI29,SI29,SI29,SI29,SI29",
45297768,"EDS UD 3","","",,,,4,"",",ED25,ED25,ED25,ED25,ED25,ED25,ED25,ED25",
46317132,"CSE 141L","","","2489631375;379318997;2592972678",,,2,"",",CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,EC26,EC26,EC26,EC26,EC26,EC26,EC26,EC26",
48006767,"NANO 148","","",,,,4,"",",NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25",
48228726,"COGS 1","","",,,,4,"",",CG25,CG25,CG25,CG25,CG25,CG25,CG25,CG25,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35",
48240710,"UD HB CORE 2","","",,,,4,"",",BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35",
57313931,"DF7 - SOCIOLOGY","","",,,,4,"",",IS31,IS31,IS31,IS31,IS31,IS31,IS31,IS31",
63983127,"LANGUAGE GE 4","","",,,,5,"",",EN28,PB26",
64498248,"CSE 8A","","",,,,4,"",",BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,BI34,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS25,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS26,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27,CS27",
66366970,"UD Major 7","","",,,,4,"",",EN28,EN28,EN28,EN28,EN28,EN28,EN28,EN28,MA27,MA27,MA27,MA27,MA27,MA27,MA27,MA27,MA29,MA29,MA29,MA29,MA29,MA29,MA29,MA29,MA30,MA30,MA30,MA30,MA30,MA30,MA30,MA30,MA31,MA31,MA31,MA31,MA31,MA31,MA31,MA31,MA32,MA32,MA32,MA32,MA32,MA32,MA32,MA32,MA33,MA33,MA33,MA33,MA33,MA33,MA33,MA33,MA35,MA35,MA35,MA35,MA35,MA35,MA35,MA35,UN27,UN27,UNHA,UNHA,UNPS,UNPS,UNSS,UNSS",
71623918,"CBN CORE 3","","",,,,4,"",",PC34,PC34,PC34,PC34,PC34,PC34,PC34,PC34",
71949809,"PHYS 140A","","","2974960549",,,4,"",",EC28,EC28,EC28,EC28,EC28,EC28,EC28,EC28,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY28,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY32,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34",
74016610,"TDDM 5","","",,,,4,"",",TH27,TH27,TH27,TH27,TH27,TH27,TH27,TH27",
74880282,"CHEM Elective","","",,,,4,"",",CH35,CH35,CH35,CH35,CH35,CH35,CH35,CH35,CH38,CH38,CH38,CH38,CH38,CH38,CH38,CH38",
79103529,"REEES UD ELECTIVE 3","","",,,,4,"",",RU26,RU26,RU26,RU26,RU26,RU26,RU26,RU26",
81085975,"POLI 30D","","",,,,4,"",",PS26,PS26,PS26,PS26,PS26,PS26,PS26,PS26,PS27,PS27,PS27,PS27,PS27,PS27,PS27,PS27,PS28,PS28,PS28,PS28,PS28,PS28,PS28,PS28,PS29,PS29,PS29,PS29,PS29,PS29,PS29,PS29,PS30,PS30,PS30,PS30,PS30,PS30,PS30,PS30,PS31,PS31,PS31,PS31,PS31,PS31,PS31,PS31,PS34,PS34,PS34,PS34,PS34,PS34,PS34,PS34",
83788153,"ESYS 101","","","400036334",,,4,"",",ES25,ES25,ES25,ES25,ES25,ES25,ES25,ES25,ES26,ES26,ES26,ES26,ES26,ES26,ES26,ES26,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES28,ES28,ES28,ES28,ES28,ES28,ES28,ES28",
86502469,"LTGM 100","","",,,,4.0,"",",GS25,GS25,GS25,GS25,GS25,GS25,GS25,GS25",
86515046,"POLI 30D/PSYC 60/SOCI 60","","",,,,4,"",",US26,US26,US26,US26,US26,US26,US26,US26",
88536948,"Ling elective 3","","",,,,4,"",",LN34,LN34,LN34,LN34,LN34,LN34,LN34",
90403854,"MUS UD Elective 2","","",,,,4,"",",MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26",
92462442,"IS UD Elective 7","","",,,,4.0,"",",IT25,IT25,IT25,IT25,IT25,IT25,IT25,IT25",
92806524,"COGS 108","","","3099896133;3920978579",,,4,"",",CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG29,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG31,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG33,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG34,CG35,CG35,CG35,CG35,CG35,CG35,CG35,CG35",
96694832,"Ensemble 1","","",,,,2,"",",MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26",
96741989,"CHEM 7L","","","103212632",,,4,"",",BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE25,BE27,BE27,BE27,BE27,BE27,BE27,BE27,BE27,BI31,BI31,BI31,BI31,BI31,BI31,BI31,BI31,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI32,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI35,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI37,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,BI38,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CE25,CS27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,GH26,GH26,GH26,GH26,GH26,GH26,GH26,GH26,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,PB31,PB31,PB31,PB31,PB31,PB31,PB31,PB31,PY26,PY26,PY26,PY26,PY26,PY26,PY26,PY26,SI29,SI29,SI29,SI29,SI29,SI29,SI29,SI29,SI30,SI30,SI30,SI30,SI30,SI30,SI30,SI30",
97882439,"IS Dept 3","","",,,,4.0,"",",IT25,IT25,IT25,IT25,IT25,IT25,IT25,IT25",
99732767,"PHYS UD DEPTH 1","","",,,,4,"",",PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY29,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY33,PY34,PY34,PY34,PY34,PY34,PY34,PY34,PY34",
